User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1000153,M,15,10,C,0,0
1000154,M,54,20,A,4+,1
1000155,M,42,12,C,4+,1
1000156,F,47,7,C,4+,1
1000157,M,45,16,A,1,0
1000158,M,64,7,C,2,1
1000159,F,46,0,A,1,1
1000160,M,36,7,C,3,0
1000161,M,48,16,C,4+,1
1000162,F,23,4,C,4+,0
1000163,M,18,4,A,1,0
1000164,F,55,13,C,1,0
1000165,M,23,16,A,1,0
1000166,M,25,4,B,1,1
1000167,F,34,11,B,4+,0
1000168,F,51,0,C,0,1
1000169,M,31,7,B,3,0
1000170,M,34,11,C,1,1
1000171,F,51,17,B,1,1
1000172,M,34,3,C,2,0
1000173,M,34,0,B,1,1
1000174,M,26,16,C,2,0
1000175,F,30,2,B,1,0
1000176,F,21,3,C,1,0
1000177,M,53,1,B,3,1
1000178,M,71,17,A,2,1
1000179,M,28,0,A,1,0
1000180,M,47,12,C,4+,0
1000181,M,18,17,C,1,0
1000182,M,23,4,C,0,0
1000183,F,48,1,B,1,1
1000184,F,33,0,C,4+,1
1000185,M,46,0,C,0,0
1000186,M,18,5,C,0,0
1000187,F,46,1,B,1,0
1000188,M,59,16,C,2,0
1000189,M,23,0,B,2,0
1000190,M,33,17,A,1,0
1000191,M,25,4,C,1,1
1000192,M,25,1,B,2,0
1000193,F,49,15,C,1,1
1000194,F,15,10,C,3,0
1000195,M,31,12,B,4+,1
1000196,F,44,9,C,4+,0
1000197,M,25,14,A,3,0
1000198,M,29,12,A,0,1
1000199,M,18,4,B,1,0
1000200,F,20,4,C,0,0
1000201,F,44,2,A,1,0
1000202,M,22,4,A,3,0
1000203,F,23,4,B,1,1
1000204,M,35,7,B,1,1
1000205,M,43,12,A,1,0
1000206,M,26,17,C,1,0
1000207,M,26,12,B,1,1
1000208,M,42,17,C,1,1
1000209,M,37,1,B,4+,0
1000210,F,15,10,C,0,0
1000211,M,47,17,C,1,1
1000212,M,30,16,C,3,0
1000213,F,20,4,C,1,0
1000214,M,25,20,C,1,0
1000215,M,42,14,C,1,1
1000216,M,46,13,B,1,0
1000217,M,25,4,A,1,0
1000218,M,37,14,C,3,1
1000219,F,35,4,A,0,0
1000220,M,34,12,A,3,0
1000220,M,34,12,A,3,0
1000220,M,34,12,A,3,0
1000221,F,35,0,B,2,1
1000222,M,26,1,A,1,0
1000223,M,28,17,B,4+,0
1000225,M,31,7,A,0,0
1000226,M,43,1,C,1,0
1000227,M,40,20,B,0,0
1000228,M,33,15,A,1,0
1000229,M,21,10,C,1,0
1000230,M,47,1,C,1,0
1000231,M,35,3,A,1,0
1000232,M,35,20,A,1,1
1000233,F,49,20,C,2,1
1000234,M,43,7,C,2,0
1000235,M,27,0,B,0,0
1000236,M,33,5,B,2,0
1000237,M,34,6,C,1,1
1000238,F,51,7,B,0,0
1000239,M,22,19,A,1,0
1000240,M,54,17,A,1,1
1000241,M,40,20,C,1,1
1000242,F,20,4,A,3,0
1000243,M,29,16,C,1,0
1000244,M,52,7,B,3,1
1000245,M,37,16,B,0,0
1000246,F,24,4,C,1,0
1000247,M,26,17,B,1,0
1000248,M,25,17,B,1,1
1000249,F,20,14,C,2,0
1000250,M,41,16,C,1,0
1000251,M,61,17,A,0,1
1000252,M,26,12,C,3,0
1000253,F,34,11,C,1,0
1000254,M,37,17,C,4+,0
1000255,M,40,0,C,1,1
1000256,M,46,16,C,3,0
1000257,M,21,18,A,1,0
1000258,M,30,7,C,0,1
1000259,M,32,1,B,4+,0
1000260,M,25,19,C,1,0
1000261,M,29,20,A,4+,0
1000262,F,32,1,C,1,0
1000263,F,33,7,C,1,0
1000264,M,37,0,B,1,1
1000265,F,38,7,A,4+,1
1000266,M,44,11,C,3,0
1000267,M,46,12,C,1,1
1000268,F,23,12,C,1,0
1000269,M,33,2,A,1,1
1000270,M,52,14,B,2,1
1000271,M,22,4,C,1,0
1000272,M,24,0,A,1,0
1000273,M,20,4,B,2,1
1000274,M,20,4,A,4+,0
1000275,M,31,0,C,3,1
1000276,M,47,16,C,4+,0
1000277,F,44,1,C,2,0
1000278,M,49,18,C,4+,1
1000279,M,26,14,C,3,0
1000280,M,53,7,C,0,1
1000281,F,44,0,A,2,0
1000282,M,27,17,C,4+,1
1000283,M,33,0,B,1,0
1000284,M,30,12,B,3,1
1000285,F,38,0,A,1,0
1000286,M,32,1,C,3,0
1000287,M,55,13,B,1,1
1000289,F,31,0,C,1,0
1000290,F,29,20,C,4+,0
1000291,M,45,12,B,2,0
1000292,M,36,7,C,0,1
1000293,M,75,1,C,1,1
1000294,F,46,9,C,3,1
1000295,M,20,0,C,4+,0
1000296,M,52,5,C,4+,1
1000297,M,24,2,C,3,1
1000298,F,25,4,C,2,0
1000299,M,30,12,C,4+,0
1000300,M,27,7,B,4+,1
1000301,M,19,4,B,4+,0
1000302,M,25,4,B,4+,0
1000303,M,30,7,C,1,1
1000304,M,31,0,B,1,0
1000305,F,22,0,B,3,1
1000306,M,24,0,C,3,0
1000307,M,55,16,B,0,1
1000308,M,35,2,A,3,1
1000309,M,31,4,B,1,0
1000310,F,23,4,C,1,0
1000311,M,19,4,C,3,1
1000312,F,53,2,B,0,0
1000313,F,21,4,A,4+,0
1000314,F,70,9,C,1,0
1000315,F,68,1,A,3,1
1000316,M,55,13,C,1,0
1000317,M,41,7,C,3,0
1000318,F,73,13,A,1,1
1000319,F,55,6,B,3,1
1000320,M,40,6,C,4+,0
1000321,M,24,4,B,3,0
1000322,M,75,17,A,3,1
1000323,M,50,12,C,1,0
1000324,M,41,17,B,0,1
1000325,F,52,3,A,1,0
1000326,M,53,11,B,1,1
1000327,M,36,18,C,4+,0
1000328,M,38,12,C,2,0
1000329,M,44,7,A,1,0
1000330,M,60,7,C,2,0
1000331,M,35,7,B,1,0
1000332,M,52,1,C,3,1
1000333,M,36,2,A,0,1
1000334,F,56,2,A,3,1
1000335,M,42,18,C,0,1
1000336,M,22,0,C,4+,0
1000337,M,18,19,C,0,0
1000338,M,39,7,A,1,0
1000339,M,52,7,C,1,1
1000340,F,29,3,C,1,1
1000341,F,67,13,C,2,1
1000342,M,20,12,C,4+,0
1000343,F,45,3,B,2,0
1000344,M,44,14,C,1,1
1000345,M,30,12,A,2,1
1000346,F,26,0,B,2,0
1000347,F,56,1,A,1,0
1000348,M,52,7,B,2,1
1000349,M,15,10,C,0,0
1000350,M,48,20,C,3,0
1000351,M,22,4,A,4+,0
1000352,M,19,4,A,0,0
1000353,F,36,7,C,1,1
1000354,M,36,1,A,1,0
1000355,M,25,3,B,2,0
1000356,M,61,20,C,0,1
1000357,M,21,0,A,4+,0
1000359,M,31,17,B,1,0
1000360,M,42,17,C,1,0
1000361,F,33,14,B,3,0
1000362,M,38,20,B,1,0
1000363,M,18,10,B,1,1
1000364,F,44,1,C,3,0
1000365,F,18,4,A,1,0
1000366,M,52,15,B,1,1
1000368,M,35,0,C,1,0
1000369,M,44,1,B,2,0
1000370,M,19,17,C,3,0
1000371,M,18,4,B,4+,0
1000372,F,19,4,C,2,0
1000373,F,27,2,C,1,1
1000374,F,36,14,C,0,0
1000375,M,29,2,B,1,0
1000376,M,37,1,C,4+,1
1000377,M,35,17,B,2,0
1000378,F,20,0,A,1,1
1000379,F,42,1,C,4+,0
1000380,M,34,2,C,1,0
1000381,M,44,17,C,2,0
1000382,F,45,20,B,0,1
1000383,F,29,7,A,4+,1
1000384,M,27,11,B,3,1
1000385,M,30,6,C,1,0
1000386,M,32,0,A,1,1
1000387,F,43,7,C,0,0
1000388,F,35,0,B,3,1
1000389,M,35,6,C,0,0
1000390,M,32,4,A,0,0
1000391,M,50,11,C,2,1
1000392,M,21,7,A,0,0
1000393,M,41,17,C,4+,0
1000394,M,23,0,C,1,0
1000395,M,25,5,A,0,0
1000396,M,27,1,C,1,0
1000397,M,44,17,B,2,0
1000398,M,28,17,B,3,1
1000399,F,36,6,B,1,1
1000400,F,24,3,C,2,1
1000401,M,20,0,B,3,0
1000402,M,32,11,B,1,1
1000403,M,19,4,A,2,0
1000404,M,20,4,B,1,0
1000405,M,62,1,C,2,0
1000406,M,30,20,A,3,0
1000407,M,22,17,C,1,0
1000408,M,31,11,A,0,0
1000409,M,22,12,B,4+,0
1000410,F,29,1,B,4+,0
1000411,F,50,1,B,0,1
1000412,M,41,15,A,1,1
1000413,M,30,11,C,0,0
1000414,M,29,0,C,4+,0
1000415,F,36,0,A,2,1
1000416,M,47,14,C,3,1
1000417,F,33,0,C,0,1
1000418,F,28,3,B,0,1
1000419,M,21,3,C,1,0
1000420,M,39,1,A,1,0
1000421,F,47,3,A,1,1
1000422,M,74,17,A,4+,0
1000423,M,24,4,A,1,0
1000424,M,27,17,A,3,0
1000425,M,29,12,B,1,1
1000426,M,24,4,A,1,1
1000427,M,36,12,A,2,0
1000429,M,25,0,C,1,0
1000430,F,20,10,C,1,1
1000431,M,19,10,B,3,0
1000432,M,50,16,C,1,1
1000433,M,53,6,C,3,1
1000434,F,46,3,C,1,0
1000435,M,30,7,A,4+,0
1000436,M,21,4,C,1,0
1000437,M,43,17,C,2,1
1000438,M,22,11,A,3,0
1000439,M,45,14,B,3,1
1000440,M,71,1,C,2,1
1000441,M,40,1,B,1,0
1000442,M,35,1,A,2,0
1000443,M,33,3,A,0,1
1000444,M,74,0,A,3,0
1000445,M,48,12,A,1,1
1000446,F,53,0,C,2,0
1000447,F,49,11,A,1,0
1000448,M,31,17,C,0,0
1000449,M,35,7,C,3,0
1000450,M,47,1,C,1,1
1000451,M,74,13,C,4+,1
1000452,M,54,17,A,3,1
1000453,M,18,4,B,1,0
1000454,M,31,20,C,2,1
1000455,F,37,2,A,0,0
1000456,M,43,0,A,0,0
1000457,M,20,4,B,2,0
1000458,M,54,16,C,1,1
1000459,F,20,4,A,3,0
1000460,M,50,18,C,2,0
1000461,M,53,7,B,0,0
1000462,M,21,16,C,1,1
1000463,M,28,7,A,4+,1
1000464,F,19,4,A,3,0
1000465,M,22,19,C,2,0
1000466,M,28,5,A,2,0
1000467,F,45,3,B,4+,1
1000468,F,15,10,B,1,0
1000469,M,36,6,B,0,1
1000470,F,15,10,C,2,0
1000471,M,43,7,A,3,0
1000473,F,20,4,A,1,0
1000474,M,33,17,B,1,0
1000476,M,44,0,B,0,0
1000477,M,40,14,A,1,0
1000478,M,52,16,A,2,0
1000479,M,31,12,C,0,0
1000480,F,25,4,C,1,0
1000481,M,49,7,C,2,0
1000482,M,30,14,A,2,1
1000483,M,21,12,A,4+,0
1000484,F,15,10,A,2,0
1000485,M,72,7,C,2,1
1000486,M,69,0,C,0,0
1000487,F,38,17,B,0,1
1000488,M,28,12,B,2,1
1000489,M,23,4,A,3,1
1000490,M,15,10,B,1,0
1000491,M,21,4,C,2,0
1000492,M,32,12,A,0,0
1000493,M,53,7,C,1,1
1000495,M,23,10,A,1,0
1000496,M,24,4,A,3,0
1000497,F,35,17,C,0,0
1000498,M,40,17,A,1,0
1000499,F,32,1,A,1,0
1000500,F,25,2,A,0,0
1000501,M,31,2,C,4+,1
1000502,M,39,6,B,1,0
1000503,M,37,11,C,0,1
1000504,M,30,2,C,2,0
1000505,M,42,17,C,2,1
1000506,M,35,16,C,1,0
1000507,F,33,0,A,4+,1
1000508,M,32,12,B,0,0
1000509,M,27,2,A,0,1
1000510,M,20,12,C,3,0
1000511,F,50,4,C,1,1
1000512,M,41,0,C,1,1
1000513,M,33,0,C,4+,0
1000514,M,33,2,A,1,1
1000515,M,27,1,A,0,1
1000516,F,60,14,C,2,0
1000517,F,28,14,A,1,0
1000518,F,40,12,C,4+,0
1000519,F,45,14,C,4+,1
1000520,F,42,20,A,2,0
1000521,M,70,7,A,2,0
1000522,M,30,12,C,1,0
1000523,M,52,7,A,1,1
1000524,M,24,0,A,0,0
1000525,M,44,6,C,2,0
1000526,M,49,17,C,1,1
1000527,F,35,2,B,2,1
1000529,M,36,12,C,1,0
1000530,M,28,2,A,1,1
1000531,F,24,14,B,0,0
1000532,M,35,7,C,2,0
1000533,M,30,12,A,1,0
1000534,M,28,15,B,3,1
1000535,M,39,6,B,3,1
1000536,M,26,20,C,1,0
1000538,M,58,16,C,2,1
1000539,M,29,2,C,4+,0
1000540,M,19,1,B,1,0
1000541,F,23,4,C,3,0
1000543,M,27,5,B,4+,1
1000544,M,44,12,B,2,0
1000545,M,41,17,C,2,0
1000546,F,34,0,B,0,0
1000547,M,43,12,B,3,0
1000548,F,38,16,C,1,1
1000549,M,29,6,A,3,0
1000550,M,47,8,B,1,1
1000551,M,45,20,A,4+,1
1000552,M,54,18,C,3,1
1000553,M,28,2,B,1,0
1000554,M,29,12,C,0,1
1000555,M,20,4,B,4+,0
1000556,F,26,9,B,4+,0
1000557,M,60,1,A,3,0
1000559,F,29,7,C,1,0
1000560,M,47,15,C,1,1
1000561,F,22,14,C,3,1
1000562,M,41,20,C,2,0
1000563,M,27,4,A,3,0
1000564,M,50,1,C,1,0
1000565,M,34,16,B,0,0
1000566,M,34,17,A,3,0
1000567,M,38,20,C,3,0
1000568,F,53,17,C,1,1
1000569,F,25,4,C,3,1
1000570,M,30,4,A,4+,0
1000571,M,53,5,C,3,1
1000572,M,19,4,A,0,0
1000573,F,42,2,B,0,0
1000574,M,32,19,C,4+,1
1000575,M,27,12,B,0,1
1000576,F,50,15,C,1,1
1000577,M,44,0,A,3,0
1000578,M,19,17,C,3,0
1000579,M,32,5,C,2,0
1000580,M,15,10,C,1,0
1000581,M,54,14,C,1,1
1000582,M,18,4,C,4+,0
1000583,F,31,0,A,4+,0
1000584,F,33,0,B,1,0
1000585,M,20,1,A,1,0
1000586,M,44,14,C,3,1
1000587,M,35,20,B,3,0
1000588,F,30,11,B,1,0
1000589,M,25,2,A,1,0
1000590,F,39,6,C,1,0
1000591,M,34,0,C,1,0
1000592,M,19,0,A,1,1
1000593,F,55,1,C,4+,0
1000594,F,61,13,B,3,0
1000595,M,35,7,A,1,0
1000596,F,32,1,C,2,1
1000597,M,45,12,C,3,1
1000598,M,43,7,C,1,1
1000599,M,51,6,A,3,1
1000600,M,45,17,C,0,1
1000601,F,19,20,B,3,1
1000602,F,55,6,C,2,0
1000603,F,34,6,C,1,1
1000604,M,50,17,C,2,1
1000605,F,23,4,C,0,0
1000606,F,15,10,C,2,0
1000607,M,27,0,C,2,1
1000608,M,22,4,C,3,1
1000609,M,33,7,B,1,0
1000610,M,30,4,B,1,0
1000611,M,37,0,C,1,0
1000612,M,55,7,C,1,0
1000613,M,42,20,C,1,1
1000615,M,52,17,C,3,0
1000616,M,27,7,B,2,0
1000617,F,28,7,C,1,0
1000618,M,26,0,B,3,0
1000619,F,24,1,B,0,0
1000620,M,19,0,A,3,0
1000622,M,28,0,B,1,1
1000623,M,28,17,C,3,1
1000624,M,35,1,B,3,0
1000625,F,44,12,C,2,1
1000626,M,20,4,B,4+,1
1000627,M,54,2,C,2,1
1000628,F,42,0,C,2,0
1000629,F,15,10,C,2,0
1000630,F,38,14,C,2,0
1000631,M,45,17,C,3,1
1000632,M,48,17,C,2,0
1000633,M,29,17,B,4+,0
1000634,F,15,10,C,4+,0
1000635,M,74,17,C,4+,1
1000636,M,20,20,C,4+,0
1000637,M,37,12,B,2,1
1000638,M,33,6,C,1,1
1000639,M,47,17,B,2,1
1000640,M,19,4,C,2,1
1000641,F,43,0,A,2,1
1000642,F,37,1,C,1,0
1000643,M,30,2,C,0,1
1000644,M,34,20,C,2,1
1000645,M,40,20,A,2,0
1000646,M,39,7,C,2,0
1000647,M,45,12,B,1,1
1000648,F,33,12,B,1,1
1000649,M,30,4,B,2,1
1000650,M,34,17,C,2,1
1000651,M,36,7,B,2,0
1000652,M,23,20,C,3,0
1000653,M,69,13,C,3,0
1000654,M,53,7,C,4+,1
1000655,F,27,2,B,2,0
1000656,F,48,16,C,3,1
1000657,F,52,13,C,1,0
1000658,F,26,0,B,1,0
1000659,F,35,0,C,4+,0
1000661,M,50,1,C,2,1
1000662,M,18,4,B,2,0
1000663,F,34,7,A,1,0
1000664,M,38,18,C,2,1
1000665,M,24,2,C,4+,1
1000666,F,18,0,C,2,0
1000667,M,32,18,C,2,1
1000668,F,29,3,C,2,0
1000669,M,32,17,B,2,0
1000670,M,26,12,B,3,1
1000671,M,23,4,C,0,0
1000672,M,44,7,C,4+,1
1000673,M,30,20,A,4+,0
1000674,M,28,17,C,4+,0
1000675,M,26,20,C,1,1
1000676,M,20,16,B,1,1
1000677,M,54,2,B,1,1
1000678,M,33,0,A,0,1
1000679,M,44,16,C,4+,1
1000680,M,28,12,C,1,0
1000681,M,38,7,C,3,1
1000682,M,30,4,C,1,0
1000683,M,35,4,A,3,1
1000685,M,26,4,A,1,1
1000686,M,24,4,A,1,1
1000687,F,34,7,C,4+,0
1000688,M,65,13,C,2,1
1000689,F,51,0,A,0,1
1000690,M,31,12,C,3,0
1000691,M,36,11,B,2,1
1000692,F,35,0,A,0,1
1000693,M,45,12,A,4+,1
1000694,M,25,4,A,4+,0
1000695,F,24,1,A,2,0
1000697,F,52,6,A,3,1
1000698,M,25,4,A,1,0
1000700,M,54,17,C,1,1
1000701,F,23,4,B,0,0
1000702,M,43,7,B,2,1
1000703,F,73,1,C,2,1
1000704,F,36,8,C,2,0
1000705,M,29,4,C,0,1
1000706,M,38,20,B,2,0
1000707,M,43,7,C,1,0
1000708,M,31,0,C,2,0
1000709,M,20,0,C,1,0
1000710,M,26,20,A,4+,0
1000711,M,30,18,A,4+,0
1000712,M,35,0,B,2,0
1000713,M,41,7,B,3,0
1000714,M,25,4,B,2,0
1000715,M,19,0,B,1,0
1000717,M,32,11,C,0,0
1000718,M,23,2,C,2,0
1000719,M,15,0,C,4+,0
1000720,M,20,0,B,0,0
1000721,F,40,9,B,1,0
1000722,M,28,12,B,4+,0
1000723,M,35,12,C,3,1
1000724,M,55,13,B,2,1
1000725,M,74,11,A,1,0
1000726,F,30,9,C,0,1
1000727,M,37,11,B,4+,1
1000728,M,28,6,C,4+,0
1000729,M,44,12,C,0,0
1000730,M,33,0,C,4+,1
1000731,M,46,3,A,0,1
1000732,M,33,7,B,4+,0
1000733,M,44,16,C,1,1
1000734,M,27,7,C,1,1
1000735,M,32,14,A,3,0
1000736,M,18,12,C,0,1
1000737,M,15,19,A,2,0
1000738,M,23,17,C,1,0
1000739,M,44,12,C,3,0
1000740,M,30,14,C,1,0
1000741,M,30,5,C,1,1
1000742,M,24,0,C,1,0
1000743,F,15,2,A,2,0
1000744,M,35,17,B,2,0
1000745,M,15,10,C,2,0
1000746,F,25,19,B,3,0
1000747,M,24,4,C,4+,1
1000748,M,30,0,C,4+,0
1000749,M,40,18,B,0,0
1000750,F,44,9,B,4+,1
1000751,F,35,17,C,3,0
1000752,F,33,3,A,3,0
1000753,M,15,10,C,1,0
1000754,M,42,7,C,3,0
1000755,F,42,0,B,3,1
1000756,M,44,0,C,2,0
1000757,M,30,12,A,1,0
1000758,M,42,7,C,3,1
1000759,F,67,3,C,1,0
1000760,M,75,15,A,4+,1
1000761,M,25,7,C,3,0
1000762,M,15,10,C,2,0
1000763,M,24,10,C,3,0
1000764,M,25,20,C,2,0
1000765,M,35,17,B,1,0
1000766,F,30,7,C,3,1
1000767,M,26,12,C,1,0
1000768,M,35,12,C,2,1
1000769,M,50,17,C,4+,1
1000770,M,20,4,B,2,1
1000771,F,51,1,C,0,0
1000772,M,24,12,C,2,0
1000773,M,30,6,B,3,0
1000774,M,22,4,A,4+,0
1000775,M,15,17,C,1,0
1000776,F,33,3,B,1,0
1000777,M,22,19,B,1,0
1000778,M,23,17,C,4+,0
1000779,M,33,0,B,2,1
1000780,M,31,17,B,3,0
1000782,M,68,1,C,4+,0
1000783,M,30,4,A,2,0
1000784,M,20,0,C,1,0
1000785,M,23,19,C,4+,0
1000786,M,27,0,C,2,0
1000787,M,20,4,C,2,0
1000788,M,34,0,C,1,0
1000789,M,22,1,B,3,1
1000790,M,31,17,C,1,0
1000791,M,42,7,B,1,0
1000792,M,28,17,B,2,0
1000793,F,42,14,C,1,0
1000794,M,52,20,C,2,1
1000795,F,36,14,B,1,0
1000796,M,52,6,B,4+,1
1000797,F,55,7,C,1,0
1000798,F,29,20,C,1,1
1000799,F,32,5,C,3,1
1000801,F,28,20,C,4+,0
1000802,M,28,16,B,1,0
1000803,M,21,4,C,0,0
1000804,M,33,20,C,0,0
1000805,M,41,12,B,1,0
1000806,M,41,0,C,3,1
1000807,M,22,4,C,2,0
1000808,M,26,7,B,1,1
1000809,M,29,17,C,1,0
1000810,M,31,12,C,4+,0
1000811,M,53,0,A,0,1
1000812,M,27,6,C,2,0
1000813,M,25,4,C,1,1
1000814,F,20,4,B,1,0
1000816,M,47,0,C,2,0
1000817,M,22,4,B,2,0
1000818,M,18,4,C,2,0
1000819,M,38,7,A,1,0
1000820,M,38,7,A,1,0
1000821,M,18,2,C,2,0
1000822,F,31,1,B,0,1
1000823,M,27,0,C,1,0
1000824,M,38,12,A,2,1
1000825,M,58,1,C,4+,1
1000826,F,42,1,C,1,1
1000827,M,47,2,C,4+,1
1000828,M,21,4,C,2,0
1000829,M,15,19,A,2,0
1000830,M,40,7,A,3,0
1000831,F,50,0,C,2,1
1000832,M,18,2,C,4+,0
1000833,M,36,7,C,1,1
1000834,F,43,12,C,0,0
1000835,M,57,0,C,1,0
1000836,M,28,11,A,4+,0
1000837,M,60,7,C,1,1
1000838,M,52,17,C,0,0
1000839,M,26,0,A,2,0
1000840,F,27,3,C,1,1
1000841,F,55,14,C,1,0
1000842,F,20,0,B,3,0
1000843,M,27,7,B,2,1
1000844,M,29,0,B,3,1
1000845,F,24,0,A,2,0
1000846,M,29,5,C,3,1
1000847,F,33,7,B,1,1
1000848,M,26,15,B,0,0
1000849,M,31,3,B,2,1
1000850,M,44,0,A,3,1
1000851,M,20,4,B,1,0
1000852,M,28,5,C,1,0
1000853,M,33,17,B,4+,0
1000854,F,34,16,B,1,0
1000855,F,20,2,A,2,1
1000856,F,48,6,B,1,0
1000857,M,39,17,C,3,1
1000858,M,42,14,B,4+,0
1000859,M,30,12,B,4+,1
1000860,M,24,0,C,0,0
1000861,M,31,7,C,0,0
1000862,M,37,7,A,0,1
1000863,M,26,7,C,4+,0
1000864,F,30,0,B,3,0
1000865,M,36,1,C,4+,1
1000866,M,15,10,C,2,0
1000867,M,49,12,C,1,1
1000868,M,54,17,C,4+,0
1000869,M,20,20,A,4+,1
1000870,F,31,1,B,4+,1
1000871,M,15,10,B,1,0
1000872,M,54,1,B,3,1
1000873,M,72,6,C,3,1
1000874,M,48,15,C,2,1
1000875,M,17,10,C,4+,0
1000876,M,29,4,B,1,0
1000877,M,35,0,B,1,1
1000878,M,25,2,C,2,0
1000879,M,49,16,C,1,0
